Provinces,Population,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Banteay Meanchey,Gen,470655,473298,475956,489141,502691,516616,530927,545635,560750,576284,592248,608654,625515,642843,660650,678952,697760,717089,736953,757368,778349,799910,822069,844842,868246,892297,917016,942418,968525,995355
Battambang,Gen,721589,729044,736576,726158,715887,705762,695779,685938,676236,666671,657242,647946,638781,629746,620839,612058,603401,594867,586453,578158,569981,561919,553971,546136,538411,530796,523288,515887,508590,501396
Kampong Cham,Gen,1167872,1170694,1173524,1156926,1140562,1124430,1108526,1092847,1077390,1062151,1047128,1032317,1017716,1003322,989131,975140,961348,947750,934345,921130,908102,895257,882595,870111,857804,845672,833710,821918,810293,798832
Kampong_Chhnang,Gen,344360,348717,353130,353437,353743,354050,354358,354665,354973,355281,355589,355898,356207,356516,356826,357135,357445,357756,358066,358377,358688,358999,359311,359623,359935,360247,360560,360873,361186,361500
Kampong Speu,Gen,502249,502252,502255,514430,526900,539672,552754,566152,579876,593932,608329,623075,638179,653648,669493,685722,702344,719369,736806,754666,772960,791696,810887,830543,850676,871296,892417,914049,936206,958900
Kampong Thom,Gen,454429,458119,461839,460361,458887,457418,455954,454495,453040,451590,450144,448704,447267,445836,444409,442986,441568,440155,438746,437342,435942,434546,433155,431769,430387,429009,427636,426267,424903,423543
Kampot,Gen,398859,395724,392614,390586,388568,386560,384563,382576,380600,378634,376678,374732,372796,370870,368954,367048,365151,363265,361388,359521,357664,355816,353978,352149,350330,348520,346719,344928,343146,341373
Kandal,Gen,804535,788043,771889,730512,738947,747480,756111,764841,773673,782607,791643,800784,810031,819384,828846,838416,848097,857890,867796,877817,887953,898206,908577,919069,929681,940416,951275,962259,973370,984610
Koh Kong,Gen,80415,80561,80707,80855,81004,81153,81302,81451,81601,81751,81901,82052,82202,82354,82505,82657,82808,82961,83113,83266,83419,83572,83726,83880,84034,84188,84343,84498,84653,84809
Kratie,Gen,227785,230257,232757,235877,239040,242244,245492,248783,252118,255498,258923,262394,265912,269477,273089,276751,280461,284221,288031,291892,295805,299771,303790,307862,311990,316172,320411,324706,329059,333471
Mondul_Kiri,Gen,47040,48726,50473,52172,53928,55743,57619,59558,61563,63635,65777,67991,70279,72645,75090,77617,80229,82930,85721,88606,91589,94671,97858,101151,104556,108075,111712,115472,119359,123376
Phnom Penh,Gen,968133,1011006,1055777,1097447,1140761,1185785,1232586,1281234,1331802,1384366,1439004,1495800,1554836,1616203,1679992,1746298,1815221,1886865,1961336,2038747,2119213,2202855,2289798,2380172,2474113,2571762,2673265,2778775,2888448,3002450
Preah Vihear,Gen,143236,151747,160763,162533,164322,166131,167960,169810,171679,173569,175480,177412,179365,181340,183336,185355,187395,189458,191544,193653,195785,197940,200120,202323,204550,206802,209079,211381,213708,216061
Prey Veng,Gen,727366,749311,771918,761000,750236,739625,729164,718850,708683,698659,688777,679035,669431,659963,650628,641426,632353,623409,614592,605899,597329,588880,580551,572340,564245,556264,548396,540640,532993,525454
